NAME_1;ir_area
Anhui;3330.9
Beijing;181.5
Chongqing;618.1
Fujian;949.7
Gansu;1030.4
Guangdong;1317.8
Guangxi;1519.8
Guizhou;711.6
Hainan;168.3
Hebei;4547.8
Heilongjiang;2394.1
Henan;4864.1
Hubei;2064.6
Hunan;2690.4
Jiangsu;3817.7
Jiangxi;1831.4
Jilin;1613.7
Liaoning;1527.1
Nei Mongol;2702.2
Ningxia Hui;423.5
Qinghai;176.5
Shaanxi;1298.8
Shandong;4790.0
Shanghai;237.3
Shanxi;1088.6
Sichuan;2508.3
Tianjin;355.2
Xinjiang Uygur;3204.3
Xizang;162.6
Yunnan;1485.4
Zhejiang;1417.7
