NAME_1;ir_area_2005
Anhui;4400.3
Beijing;137.4
Chongqing;687.2
Fujian;1061.7
Gansu;1306.7
Guangdong;1771.3
Guangxi;1618.8
Guizhou;1065.4
Hainan;264.0
Hebei;4448.0
Heilongjiang;5530.8
Henan;5210.6
Hubei;2899.1
Hunan;3113.3
Jiangsu;3952.5
Jiangxi;2027.7
Jilin;1790.9
Liaoning;1520.3
Nei Mongol;3086.9
Ningxia Hui;506.5
Qinghai;197.0
Shaanxi;1236.8
Shandong;4964.4
Shanghai;188.2
Shanxi;1460.3
Sichuan;2735.1
Tianjin;308.9
Xinjiang Uygur;4944.9
Xizang;247.8
Yunnan;1757.7
Zhejiang;1432.2
